Alias,Software_Package,Identifier,Highlight,Citation,Bibcode,Alternate_Bibcode,BibGroup,Publisher,Article_ID,DOI,Pub_Year,Pub_Date,Author,Title
astroblend.com,Astroblend,0,"#x2014; www.<em>astroblend.com</em> #x2014; has been developed which includes tutorials, and a gallery of example on the AstroBlend website#x2019;s #x201c;Getting Started#x201d; page.1212http:&#x2F;&#x2F;www.<em>astroblend.com</em> here: <em>http:&#x2F;&#x2F;www.astroblend.com&#x2F;tutorials&#x2F;tutorial_callingytdirectly.html.</em> The parameters used in generating AMR surfaces and SPH point clouds determine the shape and color through these external formats is relegated to the online tutorials found on www.<em>astroblend.com</em>",FALSE,2016A&C....15...50N,2016arXiv160203178N,CfA,Astronomy and Computing,2016arXiv160203178N|2016A&C....15...50N|10.1016/j.ascom.2016.02.002|10.1016/j.ascom.2016.02.002|arXiv:1602.03178|2016arXiv160203178N,10.1016/j.ascom.2016.02.002,2016,2016-04-00,"Naiman, J. P.",AstroBlend: An astrophysical visualization package for Blender
astroblend.com,Astroblend,0,"AstroBlend6 6 <em>www.astroblend.com&#x2F;</em> , developed by Naiman (2016), provides further tools to import",TRUE,2017PASP..129e8010G,2016arXiv161106965G,,Publications of the Astronomical Society of the Pacific,2016arXiv161106965G|2017PASP..129e8010G|10.1088/1538-3873/129/975/058010|10.1088/1538-3873/129/975/058010|2016arXiv161106965G|arXiv:1611.06965,10.1088/1538-3873/129/975/058010,2017,2017-05-00,"Gárate, Matías",Voxel Datacubes for 3D Visualization in Blender
astroblend.com,Astroblend,0,"-passing the X3D file format altogether), we refer the interested reader to the astroblend project.26 26 http:&#x2F;&#x2F;www.<em>astroblend.com</em>",FALSE,2016ApJ...818..115V,2015arXiv151002796V,,The Astrophysical Journal,2015arXiv151002796V|2016ApJ...818..115V|10.3847/0004-637X/818/2/115|10.3847/0004-637X/818/2/115|arXiv:1510.02796|2015arXiv151002796V,10.3847/0004-637X/818/2/115,2016,2016-02-00,"Vogt, Frédéric P. A.",Advanced Data Visualization in Astrophysics: The X3D Pathway
AstroBlend,Astroblend,0,"of this article.)Fig.9Isocontours generated with <em>AstroBlend</em> can be used in 3D printing. The isodensity contour Here, I present <em>AstroBlend,</em> an open-source Python library for use within the three dimensional modeling artists, in recent years it has also become a tool for visualizing astrophysical datasets. <em>AstroBlend</em> #x2014; www.<em>astroblend</em>.com #x2014; has been developed which includes tutorials, and a gallery of example",FALSE,2016A&C....15...50N,2016arXiv160203178N,CfA,Astronomy and Computing,2016arXiv160203178N|2016A&C....15...50N|10.1016/j.ascom.2016.02.002|10.1016/j.ascom.2016.02.002|arXiv:1602.03178|2016arXiv160203178N,10.1016/j.ascom.2016.02.002,2016,2016-04-00,"Naiman, J. P.",AstroBlend: An astrophysical visualization package for Blender
AstroBlend,Astroblend,0,"From that perspective, recent efforts like frelled (Taylor 2015) and <em>astroblend</em> (Naiman 2016) aiming at bringing blender or not, whether tools such as <em>astroblend</em> and frelled will become increasingly popular within our community,",TRUE,2017PASP..129e8012V,2016arXiv161103862V,,Publications of the Astronomical Society of the Pacific,2016arXiv161103862V|2017PASP..129e8012V|10.1088/1538-3873/129/975/058012|10.1088/1538-3873/129/975/058012|2016arXiv161103862V|arXiv:1611.03862,10.1088/1538-3873/129/975/058012,2017,2017-05-00,"Vogt, Frédéric P. A.",Linking the X3D Pathway to Integral Field Spectrographs: YSNR 1E 0102.2-7219 in the SMC as a Case Study
AstroBlend,Astroblend,0,"-passing the X3D file format altogether), we refer the interested reader to the <em>astroblend</em> project.26 26 http:&#x2F;&#x2F;www.<em>astroblend</em>",FALSE,2016ApJ...818..115V,2015arXiv151002796V,,The Astrophysical Journal,2015arXiv151002796V|2016ApJ...818..115V|10.3847/0004-637X/818/2/115|10.3847/0004-637X/818/2/115|arXiv:1510.02796|2015arXiv151002796V,10.3847/0004-637X/818/2/115,2016,2016-02-00,"Vogt, Frédéric P. A.",Advanced Data Visualization in Astrophysics: The X3D Pathway
AstroBlend,Astroblend,0,"AstroBlend6 6 <em>www.astroblend.com&#x2F;</em> , developed by Naiman (2016), provides further tools to import",TRUE,2017PASP..129e8010G,2016arXiv161106965G,,Publications of the Astronomical Society of the Pacific,2016arXiv161106965G|2017PASP..129e8010G|10.1088/1538-3873/129/975/058010|10.1088/1538-3873/129/975/058010|2016arXiv161106965G|arXiv:1611.06965,10.1088/1538-3873/129/975/058010,2017,2017-05-00,"Gárate, Matías",Voxel Datacubes for 3D Visualization in Blender
AstroBlend,Astroblend,0,on Big Data from Space (BiDS 2014)2014232235Naiman <em>(2016)NaimanJ.P.AstroBlend:</em> An astrophysical,TRUE,2017A&C....19...45P,2017arXiv170306651P,,Astronomy and Computing,2017arXiv170306651P|2017A&C....19...45P|10.1016/j.ascom.2017.03.004|arXiv:1703.06651|2017arXiv170306651P|10.1016/j.ascom.2017.03.004,10.1016/j.ascom.2017.03.004,2017,2017-04-00,"Punzo, D.",SlicerAstro: A 3-D interactive visual analytics tool for HI data
astropy.org,Astropy,0,"incompatible. This led to the creation (in fall 2011) of Astropy <em>(http:&#x2F;&#x2F;www.astropy.org),</em> an effort to foster <em>(http:&#x2F;&#x2F;affiliated.astropy.org).</em> Astropy also provides a template (http:&#x2F;&#x2F;github.com&#x2F;astropy&#x2F;package-template) that simplifies package documentation <em>(http:&#x2F;&#x2F;docs.astropy.org).</em> Development of the core package has occurred entirely",TRUE,2013ASPC..475..241T,2013adass..22..241T,,Astronomical Data Analysis Software and Systems XXII,2013adass..22..241T|2013ASPC..475..241T|2013adass..22..241T,,2013,2013-10-00,"Tollerud, E. J.",The Astropy Project: A Community Python Library for Astrophysics
astropy.org,Astropy,0,"a clean, 1 http:&#x2F;&#x2F;www.<em>astropy.org</em>&#x2F;affiliated&#x2F;index.html 346 Bray consistent, and stable API; &amp; Engineering, 13, 22 2 http:&#x2F;&#x2F;docs.<em>astropy.org</em>",FALSE,2014ASPC..485..343B,2014adass..23..343B,,Astronomical Data Analysis Software and Systems XXIII,2014adass..23..343B|2014ASPC..485..343B|2014adass..23..343B,,2014,2014-05-00,"Bray, E. M.",Astropy: Building Blocks for Astronomy Software
astropy.org,Astropy,0,http:&#x2F;&#x2F;docs.<em>astropy.org</em> There are several practical algorithms useful for observation planning:&#x2F;&#x2F;docs.<em>astropy</em>.<em>org</em>&#x2F;en&#x2F;stable&#x2F;development&#x2F;workflow&#x2F;development_workflow.html 3. Documentation 3.1.,FALSE,2018AJ....155..128M,2017arXiv171209631M,CfA,The Astronomical Journal,2017arXiv171209631M|2018AJ....155..128M|10.3847/1538-3881/aaa47e|arXiv:1712.09631|2017arXiv171209631M|10.3847/1538-3881/aaa47e,10.3847/1538-3881/aaa47e,2018,2018-03-00,"Morris, Brett M.",astroplan: An Open Source Observation Planning Package in Python
astropy.org,Astropy,0,<em>http:&#x2F;&#x2F;www.astropy.org&#x2F;</em> 6 http:&#x2F;&#x2F;www.suny.edu&#x2F;attend&#x2F;get-started&#x2F;transfer-students&#x2F;suny-transfer,FALSE,2016arXiv160602242Z,,,arXiv e-prints,2016arXiv160602242Z|arXiv:1606.02242,,2016,2016-06-00,"Zingale, M.",The Importance of Computation in Astronomy Education
astropy.org,Astropy,0,"† <em>http:&#x2F;&#x2F;www.astropy.org&#x2F;;</em> https:&#x2F;&#x2F;aplpy.github.io&#x2F; 1 2 I. S. Bojičić, Q. A. Parker &amp; D. J. Frew Figure 1. HASH system",FALSE,2017IAUS..323..327B,2016arXiv161201521B,,Planetary Nebulae: Multi-Wavelength Probes of Stellar and Galactic Evolution,2016arXiv161201521B|2017IAUS..323..327B|10.1017/S1743921317003234|2016arXiv161201521B|10.1017/S1743921317003234|arXiv:1612.01521,10.1017/S1743921317003234,2017,2017-10-00,"Bojičić, Ivan S.",The Hong Kong/AAO/Strasbourg Hα (HASH) Planetary Nebula Database
astropy.org,Astropy,0,http:&#x2F;&#x2F;astrocompute.wordpress.com&#x2F; 5 http:&#x2F;&#x2F;www.astrobetter.com&#x2F; 6 <em>http:&#x2F;&#x2F;www.astropy.org&#x2F;</em> 7 https:&#x2F;&#x2F;groups,FALSE,2013ASPC..475..383A,2013adass..22..383A|2012arXiv1212.1915A,,Astronomical Data Analysis Software and Systems XXII,2013adass..22..383A|2012arXiv1212.1915A|2013ASPC..475..383A|2013adass..22..383A|arXiv:1212.1915|2012arXiv1212.1915A,,2013,2013-10-00,"Allen, A.",Bring out your codes! Bring out your codes! (Increasing Software Visibility and Re-use)
astropy.org,Astropy,0,such as Astropy <em>(http:&#x2F;&#x2F;www.astropy.org&#x2F;)</em> and its adoption by major projects such as LSST and JWST. The growth,TRUE,2017ASPC..512...81B,2016arXiv160802649B|2018ASPC..512...81B|2017adass..25...81B,,Astronomical Data Analysis Software and Systems XXV,2016arXiv160802649B|2018ASPC..512...81B|2017adass..25...81B|2017ASPC..512...81B|arXiv:1608.02649|2016arXiv160802649B|2018ASPC..512...81B|2017adass..25...81B,,2017,2017-12-00,"Berriman, G. B.",The Next Generation of the Montage Image Mosaic Toolkit.
astropy.org,Astropy,0,library for astronomy.” <em>http:&#x2F;&#x2F;www.astropy.org&#x2F;.</em> [3] “Pyephem basic astronomical computations,FALSE,2014SPIE.9145E..3VG,,,Ground-based and Airborne Telescopes V,2014SPIE.9145E..3VG|10.1117/12.2057288|10.1117/12.2057288,10.1117/12.2057288,2014,2014-07-00,"Guyon, Olivier",The PANOPTES project: discovering exoplanets with low-cost digital cameras
astropy.org,Astropy,0,and the bulge of our galaxy. We developed a suite of tools using astropy 17 17 http:&#x2F;&#x2F;www.<em>astropy.org</em>,FALSE,2016ApJ...824...83B,2016arXiv160101846B,NOAO|Keck|ESO/Telescopes|Subaru|CfA,The Astrophysical Journal,2016arXiv160101846B|2016ApJ...824...83B|10.3847/0004-637X/824/2/83|2016arXiv160101846B|arXiv:1601.01846|10.3847/0004-637X/824/2/83,10.3847/0004-637X/824/2/83,2016,2016-06-00,"Beaulieu, J. -P.",Revisiting the Microlensing Event OGLE 2012-BLG-0026: A Solar Mass Star with Two Cold Giant Planets
astropy.org,Astropy,0,<em>http:&#x2F;&#x2F;www.astropy.org&#x2F;</em> 8 https:&#x2F;&#x2F;pyvo.readthedocs.io&#x2F;en&#x2F;latest&#x2F; 7 Looking for infrared counterparts of Fermi,FALSE,2017ICRC...35..600L,2017arXiv170910168L|2017PoS...301..600L,,International Cosmic Ray Conference,2017arXiv170910168L|2017PoS...301..600L|2017ICRC...35..600L|2017arXiv170910168L|arXiv:1709.10168|2017PoS...301..600L,,2017,2017-01-00,"Lefaucheur, J.",Looking for infrared counterparts of Fermi/LAT blazar candidates
astropy.org,Astropy,0,[30] (http:&#x2F;&#x2F;gambit.sourceforge.net&#x2F;)). • Astrophysics [1] <em>(http:&#x2F;&#x2F;www.astropy.org&#x2F;);</em> • Data,TRUE,2016arXiv160400896K,,,arXiv e-prints,2016arXiv160400896K|arXiv:1604.00896,,2016,2016-04-00,"Knight, Vincent",An open reproducible framework for the study of the iterated prisoner's dilemma
astropy.org,Astropy,0,-2.seti.org&#x2F;tools&#x2F;ephem2_jup.html Pyephem: http:&#x2F;&#x2F;www.<em>astropy.org</em> ALPO Japan: http:&#x2F;&#x2F;alpo-j.asahikawa-med.ac.jp&#x2F;Latest&#x2F;Jupiter.htm PVOL:,FALSE,2016EJPh...37f5601O,,,European Journal of Physics,2016EJPh...37f5601O|10.1088/0143-0807/37/6/065601|10.1088/0143-0807/37/6/065601,10.1088/0143-0807/37/6/065601,2016,2016-11-00,"Ordonez-Etxeberria, I.",Introducing gravitational resonances from simple observations of Jupiter’s Galilean satellites
astropy.org,Astropy,0,https:&#x2F;&#x2F;docs.continuum.io&#x2F;anaconda&#x2F; index 5 http:&#x2F;&#x2F;www.<em>astropy.org</em> 6 http:&#x2F;&#x2F;www.astromatic.net&#x2F;software&#x2F; sextractor 7,FALSE,2018MmSAI..89..223G,2018arXiv180201692G,,Memorie della Societa Astronomica Italiana,2018arXiv180201692G|2018MmSAI..89..223G|2018arXiv180201692G|arXiv:1802.01692,,2018,2018-00-00,"Grado, A.",Gravitational Waves optical follow-up at VST .
astropy.org,Astropy,0,nebula with HESSAstron. Astrophys.457200689991510.1051&#x2F;0004-6361:20065351[18]http:&#x2F;&#x2F;www.<em>astropy</em>.<em>org</em>&#x2F;.[19]http,FALSE,2016APh....80....8G,2016arXiv160305443G,,Astroparticle Physics,2016arXiv160305443G|2016APh....80....8G|10.1016/j.astropartphys.2016.03.006|arXiv:1603.05443|10.1016/j.astropartphys.2016.03.006|2016arXiv160305443G,10.1016/j.astropartphys.2016.03.006,2016,2016-07-00,"Giomi, Matteo",Optimal strategies for observation of active galactic nuclei variability with Imaging Atmospheric Cherenkov Telescopes
astropy.org,Astropy,0,"(http:&#x2F;&#x2F;aplpy.github.io&#x2F;) and Astropy <em>(http:&#x2F;&#x2F;www.astropy.org)</em> packages, the Montage (http:&#x2F;&#x2F;montage.ipac.caltech.edu&#x2F;)",TRUE,2016JPhCS.728c2008P,2016arXiv160307042P,,Journal of Physics Conference Series,2016arXiv160307042P|2016JPhCS.728c2008P|10.1088/1742-6596/728/3/032008|10.1088/1742-6596/728/3/032008|2016arXiv160307042P|arXiv:1603.07042,10.1088/1742-6596/728/3/032008,2016,2016-07-00,"Parker, Quentin A.",HASH: the Hong Kong/AAO/Strasbourg Hα planetary nebula database
astropy.org,Astropy,0,":&#x2F;&#x2F;pypi.python.org&#x2F;pypi.required packages include NumPy,44http:&#x2F;&#x2F;www.numpy.org&#x2F;.SciPy,55https:&#x2F;&#x2F;www.scipy.org&#x2F;.astropy,66http:&#x2F;&#x2F;www.<em>astropy.org</em>",FALSE,2017A&C....18...47M,2017arXiv170200834M,,Astronomy and Computing,2017arXiv170200834M|2017A&C....18...47M|10.1016/j.ascom.2016.11.002|arXiv:1702.00834|2017arXiv170200834M|10.1016/j.ascom.2016.11.002,10.1016/j.ascom.2016.11.002,2017,2017-01-00,"Mommert, M.",PHOTOMETRYPIPELINE: An automated pipeline for calibrated photometry
astropy.org,Astropy,0,simulation. Halotools is an affiliated package23 23 http:&#x2F;&#x2F;www.<em>astropy.org</em>&#x2F;affiliated of Astropy.,FALSE,2017AJ....154..190H,2016arXiv160604106H,CfA,The Astronomical Journal,2016arXiv160604106H|2017AJ....154..190H|10.3847/1538-3881/aa859f|2016arXiv160604106H|10.3847/1538-3881/aa859f|arXiv:1606.04106,10.3847/1538-3881/aa859f,2017,2017-11-00,"Hearin, Andrew P.",Forward Modeling of Large-scale Structure: An Open-source Approach with Halotools
astropy.org,Astropy,0,See http:&#x2F;&#x2F;matplotlib.org&#x2F;. 5 See <em>http:&#x2F;&#x2F;docs.astropy.org&#x2F;en&#x2F;stable&#x2F;.</em> 6 See https:&#x2F;&#x2F;docs.scipy.org&#x2F;doc&#x2F;. 168 Page 12 of 12,FALSE,2017SoPh..292..168M,2017arXiv171010525M,,Solar Physics,2017arXiv171010525M|2017SoPh..292..168M|10.1007/s11207-017-1193-1|10.1007/s11207-017-1193-1|arXiv:1710.10525|2017arXiv171010525M,10.1007/s11207-017-1193-1,2017,2017-11-00,"Mohan, Atul",4D Data Cubes from Radio-Interferometric Spectroscopic Snapshot Imaging
astropy.org,Astropy,0,"<em>(http:&#x2F;&#x2F;www.astropy.org;</em> Astropy Collaboration et al. 2013). Facility: Gemini:Gillett (GMOS) REFERENCES Alberts, F.,",TRUE,2014ApJ...783L..23K,2014arXiv1402.0407K,Gemini,The Astrophysical Journal,2014arXiv1402.0407K|2014ApJ...783L..23K|10.1088/2041-8205/783/1/L23|10.1088/2041-8205/783/1/L23|2014arXiv1402.0407K|arXiv:1402.0407,10.1088/2041-8205/783/1/L23,2014,2014-03-00,"Kaplan, David L.",Spectroscopy of the Inner Companion of the Pulsar PSR J0337+1715
astropy.org,Astropy,0,were reduced using astropy (Astropy Collaboration et al. 2013)8 8 http:&#x2F;&#x2F;www.<em>astropy.org</em> and custom python,TRUE,2016ApJ...830...36A,2016arXiv160108184A,ESO/Telescopes,The Astrophysical Journal,2016arXiv160108184A|2016ApJ...830...36A|10.3847/0004-637X/830/1/36|2016arXiv160108184A|arXiv:1601.08184|10.3847/0004-637X/830/1/36,10.3847/0004-637X/830/1/36,2016,2016-10-00,"Antoniadis, John",An Eccentric Binary Millisecond Pulsar with a Helium White Dwarf Companion in the Galactic field
astropy.org,Astropy,0,when Eq. 7 reaches the minimum BICmin . (7) 3 http:&#x2F;&#x2F;www.<em>astropy.org</em> 4 Frame:observer,TRUE,2016Ap&SS.361..257Y,2016arXiv160601468Y,,Astrophysics and Space Science,2016arXiv160601468Y|2016Ap&SS.361..257Y|10.1007/s10509-016-2838-5|10.1007/s10509-016-2838-5|arXiv:1606.01468|2016arXiv160601468Y,10.1007/s10509-016-2838-5,2016,2016-08-00,"Yang, E. B.",Two dimensional classification of the Swift/BAT GRBs
astropy.org,Astropy,0,the documentation at http:&#x2F;&#x2F;docs.<em>astropy.org</em> can suggest improvements to the documentation with just a few clicks,FALSE,2013A&A...558A..33A,2013arXiv1307.6212T,CfA,Astronomy and Astrophysics,2013arXiv1307.6212T|2013A&A...558A..33A|10.1051/0004-6361/201322068|arXiv:1307.6212|10.1051/0004-6361/201322068|2013arXiv1307.6212T,10.1051/0004-6361/201322068,2013,2013-10-00,Astropy Collaboration,Astropy: A community Python package for astronomy
astropy.org,Astropy,0,and is available at <em>http:&#x2F;&#x2F;www.astropy.org.</em> Before we rush to declare either Javascript or Python the sine qua non of future astronomical,FALSE,2013arXiv1301.5193S,,,arXiv e-prints,2013arXiv1301.5193S|arXiv:1301.5193,,2013,2013-01-00,"Simpson, Robert J.","Unproceedings of the Fourth .Astronomy Conference (.Astronomy 4), Heidelberg, Germany, July 9-11 2012"
astropy.org,Astropy,0,"(Robitaille et al. 2013, <em>http:&#x2F;&#x2F;www.astropy.org),</em> a community-developed core Python package for Astronomy.",TRUE,2013ApJ...776L..34S,2013arXiv1307.5851S,Magellan|Swift,The Astrophysical Journal,2013arXiv1307.5851S|2013ApJ...776L..34S|10.1088/2041-8205/776/2/L34|2013arXiv1307.5851S|arXiv:1307.5851|10.1088/2041-8205/776/2/L34,10.1088/2041-8205/776/2/L34,2013,2013-10-00,"Singer, Leo P.",Discovery and Redshift of an Optical Afterglow in 71 deg<SUP>2</SUP>: iPTF13bxl and GRB 130702A
astropy.org,Astropy,0,"camera images is done with a python interface to astropy <em>(http:&#x2F;&#x2F;www.astropy.org&#x2F;),</em> a dedicated module",TRUE,2015SPIE.9504E..0CZ,2015arXiv150507339Z,,Photon Counting Applications 2015,2015arXiv150507339Z|2015SPIE.9504E..0CZ|10.1117/12.2179547|2015arXiv150507339Z|10.1117/12.2179547|arXiv:1505.07339,10.1117/12.2179547,2015,2015-05-00,"Zampieri, L.",Aqueye+: a new ultrafast single photon counter for optical high time resolution astrophysics
astropy.org,Astropy,0,"made use of Astropy,10 10 http:&#x2F;&#x2F;www.<em>astropy.org</em> a community-developed core Python package",FALSE,2016ApJ...827...12B,2016arXiv160600836B,HST,The Astrophysical Journal,2016arXiv160600836B|2016ApJ...827...12B|10.3847/0004-637X/827/1/12|arXiv:1606.00836|10.3847/0004-637X/827/1/12|2016arXiv160600836B,10.3847/0004-637X/827/1/12,2016,2016-08-00,"Baldwin, A. T.",Hubble Space Telescope Proper Motion (HSTPROMO) Catalogs of Galactic Globular Clusters. IV. Kinematic Profiles and Average Masses of Blue Straggler Stars
astropy.org,Astropy,0,"in the pywcs module, which is part of the astropy package.2020Refer to <em>http:&#x2F;&#x2F;www.astropy.org&#x2F;</em> for more",FALSE,2013A&C.....2....1S,2013arXiv1306.0573S,,Astronomy and Computing,2013arXiv1306.0573S|2013A&C.....2....1S|10.1016/j.ascom.2013.04.002|arXiv:1306.0573|2013arXiv1306.0573S|10.1016/j.ascom.2013.04.002,10.1016/j.ascom.2013.04.002,2013,2013-08-00,"Singh, Navtej",Parallel astronomical data processing with Python: Recipes for multicore machines
astropy.org,Astropy,0,"the community driven software development project AstroPy <em>(http:&#x2F;&#x2F;www.astropy.org&#x2F;).</em> Unfortunately, this format",TRUE,2018P&SS..150...36H,2017arXiv170602683H,,Planetary and Space Science,2017arXiv170602683H|2018P&SS..150...36H|10.1016/j.pss.2017.04.004|2017arXiv170602683H|arXiv:1706.02683|10.1016/j.pss.2017.04.004,10.1016/j.pss.2017.04.004,2018,2018-01-00,"Hare, Trent M.",Interoperability in planetary research for geospatial data analysis
astropy.org,Astropy,0,"The Astropy Project <em>(http:&#x2F;&#x2F;astropy.org)</em> is, in its own words, “a community effort to develop a single core",TRUE,2016arXiv161003159M,,,arXiv e-prints,2016arXiv161003159M|arXiv:1610.03159,,2016,2016-10-00,"Muna, Demitri",The Astropy Problem
astropy.org,Astropy,0,"13 http:&#x2F;&#x2F;www.numpy.org&#x2F; , astropy14 14 <em>http:&#x2F;&#x2F;www.astropy.org&#x2F;</em> , and CV215 15",FALSE,2018PASP..130a5001V,2017arXiv170905353V,CfA,Publications of the Astronomical Society of the Pacific,2017arXiv170905353V|2018PASP..130a5001V|10.1088/1538-3873/aa9603|2017arXiv170905353V|arXiv:1709.05353|10.1088/1538-3873/aa9603,10.1088/1538-3873/aa9603,2018,2018-01-00,"Villanueva, Steven, Jr.",DEdicated MONitor of EXotransits and Transients (DEMONEXT): System Overview and Year One Results from a Low-cost Robotic Telescope for Followup of Exoplanetary Transits and Transients
astropy.org,Astropy,0,":&#x2F;&#x2F;docs.<em>astropy</em>.<em>org</em>&#x2F;en&#x2F;v1.0&#x2F;table&#x2F;index.html.Bandura etal., 2014Bandura, K., et al. 2014, Canadian",FALSE,2015A&C....12..212P,2015arXiv150506421P,CfA,Astronomy and Computing,2015arXiv150506421P|2015A&C....12..212P|10.1016/j.ascom.2015.05.001|2015arXiv150506421P|arXiv:1505.06421|10.1016/j.ascom.2015.05.001,10.1016/j.ascom.2015.05.001,2015,2015-09-00,"Price, D. C.",HDFITS: Porting the FITS data model to HDF5
astropy.org,Astropy,0,<em>http:&#x2F;&#x2F;docs.astropy.org&#x2F;en&#x2F;stable&#x2F;index.html#</em> Xiao-na Sun et al.: giant lobes of Centaurus A 194 (44 GHz) (70 GHz) -40 Jy&#x2F;pixel -42,TRUE,2017AIPC.1792e0030S,2016arXiv160603053S,,6th International Symposium on High Energy Gamma-Ray Astronomy,2016arXiv160603053S|2017AIPC.1792e0030S|10.1063/1.4968976|arXiv:1606.03053|10.1063/1.4968976|2016arXiv160603053S,10.1063/1.4968976,2017,2017-01-00,"Sun, Xiao-na",Giant lobes of Centaurus A as seen in radio and gamma-ray images obtained with the Fermi-LAT and Planck satellites
astropy.org,Astropy,0,We used a simple boxcar smoothing algorithm from Astropy.10 10 http:&#x2F;&#x2F;www.<em>astropy.org</em> Two prominent emission,FALSE,2017ApJ...840...57Y,2016arXiv161102782Y,Keck|HST,The Astrophysical Journal,2016arXiv161102782Y|10.3847/1538-4357/aa6b02|2017ApJ...840...57Y|arXiv:1611.02782|2016arXiv161102782Y|10.3847/1538-4357/aa6b02,10.3847/1538-4357/aa6b02,2017,2017-05-00,"Yan, Lin",Far-ultraviolet to Near-infrared Spectroscopy of a Nearby Hydrogen-poor Superluminous Supernova Gaia16apd
astropy.org,Astropy,0,". Software: Astropy <em>(http:&#x2F;&#x2F;www.astropy.org,</em> Robitaille et al. 2013), matplotlib (Hunter 2007). APPENDIX",TRUE,2018arXiv180200100T,,,arXiv e-prints,2018arXiv180200100T|arXiv:1802.00100,,2018,2018-01-00,The Fermi-LAT Collaboration,Search for Gamma-Ray Emission from Local Primordial Black Holes with the Fermi Large Area Telescope
astropy.org,Astropy,0,of the drizzled data is 1 www.numpy.org www.scipy.org 3 www.<em>astropy.org</em> 2 – 17 – 0.0300 &#x2F;pixel. We use,FALSE,2017JCAP...04..049B,2016arXiv161001599B,,Journal of Cosmology and Astro-Particle Physics,2016arXiv161001599B|2017JCAP...04..049B|10.1088/1475-7516/2017/04/049|arXiv:1610.01599|10.1088/1475-7516/2017/04/049|2016arXiv161001599B,10.1088/1475-7516/2017/04/049,2017,2017-04-00,"Birrer, Simon",Line-of-sight effects in strong lensing: putting theory into practice
astropy.org,Astropy,0,<em>http:&#x2F;&#x2F;docs.astropy.org&#x2F;en&#x2F;stable&#x2F;api&#x2F;astropy.stats.sigma_clipped_stats.html#astropy.stats.sigma_clipped_stats.</em> of each image are estimated in order to calculate the background noise and flux levels.,FALSE,2017ApJS..230...20A,2017arXiv170503413A,,The Astrophysical Journal Supplement Series,2017arXiv170503413A|2017ApJS..230...20A|10.3847/1538-4365/aa7333|2017arXiv170503413A|10.3847/1538-4365/aa7333|arXiv:1705.03413,10.3847/1538-4365/aa7333,2017,2017-06-00,"Aniyan, A. K.",Classifying Radio Galaxies with the Convolutional Neural Network
astropy.org,Astropy,0,<em>http:&#x2F;&#x2F;www.astropy.org&#x2F;montage-wrapper&#x2F;</em> 4.4.1. Astrometric Preservation Fig. 7.— Two plots demonstrating the preservation,FALSE,2015arXiv151201204L,,,arXiv e-prints,2015arXiv151201204L|arXiv:1512.01204,,2015,2015-12-00,"Lee, Jung Lin","Creating updated, scientifically-calibrated mosaic images for the RC3 catalogue"
astropy.org,Astropy,0,and the astropy cosmology package53 53 http:&#x2F;&#x2F;www.<em>astropy.org</em> to calculate the absolute i-band magnitude Mi,FALSE,2017AJ....153..107T,2016arXiv161105456T,NOAO|ESO/Telescopes|CFHT,The Astronomical Journal,2016arXiv161105456T|2017AJ....153..107T|10.3847/1538-3881/aa5b8d|10.3847/1538-3881/aa5b8d|2016arXiv161105456T|arXiv:1611.05456,10.3847/1538-3881/aa5b8d,2017,2017-03-00,"Tie, S. S.",A Study of Quasar Selection in the Supernova Fields of the Dark Energy Survey
astropy.org,Astropy,0,"the three-dimensional distance using the Astropy python package,14 14 http:&#x2F;&#x2F;www.<em>astropy.org</em> (Astropy",TRUE,2018ApJ...852...68C,2017arXiv171201439C,NOAO|Gemini,The Astrophysical Journal,2017arXiv171201439C|2018ApJ...852...68C|10.3847/1538-4357/aa9eda|2017arXiv171201439C|arXiv:1712.01439|10.3847/1538-4357/aa9eda,10.3847/1538-4357/aa9eda,2018,2018-01-00,"Conn, Blair C.","On the Nature of Ultra-faint Dwarf Galaxy Candidates. I. DES1, Eridanus III, and Tucana V"
astropy.org,Astropy,0,<em>astropy.org.</em> Biographies for the authors are not available. 048001-25 Oct–Dec 2017 • Vol. 3(4),TRUE,2017JATIS...3d8001H,2017arXiv171006067H,Leiden Observatory,"Journal of Astronomical Telescopes, Instruments, and Systems",2017arXiv171006067H|2017JATIS...3d8001H|10.1117/1.JATIS.3.4.048001|10.1117/1.JATIS.3.4.048001|2017arXiv171006067H|arXiv:1710.06067,10.1117/1.JATIS.3.4.048001,2017,2017-10-00,"Harrington, David M.",Polarization modeling and predictions for DKIST part 2: application of the Berreman calculus to spectral polarization fringes of beamsplitters and crystal retarders
astropy.org,Astropy,0,<em>http:&#x2F;&#x2F;www.astropy.org&#x2F;astroquery&#x2F;</em> Table 4 summarizes the results of the cross-matches and stands in for a machine-readable table,FALSE,2016ApJ...833..281K,2016arXiv160800978K,XMM|CfA,The Astrophysical Journal,2016arXiv160800978K|2016ApJ...833..281K|10.3847/1538-4357/833/2/281|arXiv:1608.00978|2016arXiv160800978K|10.3847/1538-4357/833/2/281,10.3847/1538-4357/833/2/281,2016,2016-12-00,"Kado-Fong, E.",M Dwarf Activity in the Pan-STARRS1 Medium-Deep Survey: First Catalog and Rotation Periods
